# BOSCH-DARAB extract file created 08.08.2020 14:22:16
#
# Data from source file "C:\Users\nic\Michigan State University\RSO-MSU Formula Racing Team - General\SR22 - Car XX\Systems\Simulation\results\2019_MIS_endurance_constant_aero_coeffs.bmsbin"
# where 0.000 <= xtime <= 120.129
# 
xtime    [   s]	enginespeed[revo]
          5.910	      13122.770
          5.920	      13124.960
          5.930	      13127.140
          5.940	      13129.310
          5.950	      13131.477
          5.960	      13133.644
          5.970	      13135.800
          5.980	      13137.947
          5.990	      13140.096
          6.000	      13142.240
          6.010	      13144.383
          6.020	      13146.527
          6.030	      13148.670
          6.040	      13150.803
          6.050	      13152.943
          6.060	      13155.080
          6.070	      13157.213
          6.080	      13159.357
          6.090	      13161.500
          6.100	      13163.633
          6.110	      13165.777
          6.120	      13167.920
          6.130	      13170.066
          6.140	      13172.213
          6.150	      13174.360
          6.160	      13176.507
          6.170	      13178.657
          6.180	      13180.810
          6.190	      13182.953
          6.200	      13185.104
          6.210	      13187.250
          6.220	      13189.393
          6.230	      13191.537
          6.240	      13193.680
          6.250	      13195.813
          6.260	      13197.937
          6.270	      13200.060
          6.280	      13202.183
          6.290	      13204.297
          6.300	      13206.400
          6.310	      13208.497
          6.320	      13210.583
          6.330	      13212.660
          6.340	      13214.726
          6.350	      13216.787
          6.360	      13218.830
          6.370	      13220.863
          6.380	      13222.887
          6.390	      13224.890
          6.400	      13226.887
          6.410	      13228.863
          6.420	      13230.820
          6.430	      13232.764
          6.440	      13234.687
          6.450	      13236.590
          6.460	      13238.467
          6.470	      13240.323
          6.480	      13242.160
          6.490	      13243.970
          6.500	      13245.753
          6.510	      13247.510
          6.520	      13249.244
          6.530	      13250.950
          6.540	      13252.640
          6.550	      13254.297
          6.560	      13255.937
          6.570	      13257.550
          6.580	      13259.150
          6.590	      13260.733
          6.600	      13262.300
          6.610	      13263.857
          6.620	      13265.406
          6.630	      13266.940
          6.640	      13268.474
          6.650	      13270.007
          6.660	      13271.540
          6.670	      13273.063
          6.680	      13274.597
          6.690	      13276.130
          6.700	      13277.667
          6.710	      13279.207
          6.720	      13280.750
          6.730	      13282.304
          6.740	      13283.856
          6.750	      13285.420
          6.760	      13286.987
          6.770	      13288.553
          6.780	      13290.130
          6.790	      13291.710
          6.800	      13293.294
          6.810	      13294.880
          6.820	      13296.470
          6.830	      13298.060
          6.840	      13299.660
          6.850	      13301.250
          6.860	      13302.843
          6.870	      13304.440
          6.880	      13306.030
          6.890	      13307.620
          6.900	      13309.210
          6.910	      13310.790
          6.920	      13312.370
          6.930	      13313.940
          6.940	      13315.517
          6.950	      13317.083
          6.960	      13318.640
          6.970	      13320.206
          6.980	      13321.773
          6.990	      13323.340
          7.000	      13324.910
          7.010	      13326.500
          7.020	      13328.100
          7.030	      13329.723
          7.040	      13331.383
          7.050	      13333.070
          7.060	      13334.803
          7.070	      13336.580
          7.080	      13338.410
          7.090	      13340.293
          7.100	      13342.233
          7.110	      13344.230
          7.120	      13346.277
          7.130	      13348.370
          7.140	      13350.520
          7.150	      13352.710
          7.160	      13354.870
